Stock Name,Score,Type,Date
Byggmax,0.0044442635162400546,Positive,2019-05-31
Byggmax,0.003506161773513261,Positive,2019-05-30
Byggmax,0.003754289182911874,Positive,2019-05-29
Byggmax,0.0039618500004428014,Positive,2019-05-28
Byggmax,0.004386101787432373,Positive,2019-05-27
Byggmax,0.0028405127182015155,Positive,2019-05-26
Byggmax,0.0024531976823065627,Positive,2019-05-25
Qliro Group,0.0035361347898129614,Positive,2019-05-28
Qliro Group,0.003544273090264616,Positive,2019-05-27
Qliro Group,0.002869889211632559,Positive,2019-05-26
Qliro Group,0.0008810269963618333,Positive,2019-05-25
Cloetta,0.005195733461573759,Positive,2019-06-02
Cloetta,0.005397020442239331,Positive,2019-06-01
Cloetta,0.005212365771817051,Positive,2019-05-31
Cloetta,0.005123693781882599,Positive,2019-05-30
Cloetta,0.005393533301338849,Positive,2019-05-29
Cloetta,0.005287470631837321,Positive,2019-05-28
Cloetta,0.005001792084532886,Positive,2019-05-27
Cloetta,0.004819901881509825,Positive,2019-05-26
Cloetta,0.004153782867524214,Positive,2019-05-25
Duni,0.0017359676510940725,Positive,2019-05-31
Duni,0.0013051759071863733,Positive,2019-05-30
Duni,0.0012577592497319268,Positive,2019-05-29
Duni,0.0012575969855530555,Positive,2019-05-28
Duni,0.0005874640724680136,Positive,2019-05-27
Duni,0.00035442283841879973,Positive,2019-05-26
Duni,0.0003359827819420236,Positive,2019-05-25
Duroc,0.0013350887980695392,Negative,2019-05-28
Duroc,0.000631182155429566,Negative,2019-05-27
Duroc,0.000872967997379015,Negative,2019-05-26
Duroc,0.000408641240066121,Negative,2019-05-25
Elanders,0.0015572944907499275,Negative,2019-05-26
Elanders,0.0011078439993325029,Negative,2019-05-25
Electra Gruppen,0.0015943671663097847,Negative,2019-05-27
Electra Gruppen,0.0013661007965645178,Negative,2019-05-26
Electra Gruppen,0.0014611002633323489,Negative,2019-05-25
Havsfrun Investment,0.0019426335764654024,Negative,2019-05-30
Havsfrun Investment,0.002307704707276814,Negative,2019-05-29
Havsfrun Investment,0.0021071901659834857,Negative,2019-05-28
Havsfrun Investment,0.001614125286536816,Negative,2019-05-27
Havsfrun Investment,0.0018685078098789054,Negative,2019-05-26
Havsfrun Investment,0.0016638727494752148,Negative,2019-05-25
Image Systems,0.0055381346048933855,Positive,2019-05-26
Image Systems,0.005827324592384109,Positive,2019-05-25
NAXS Nordic Access,0.000959495287125689,Positive,2019-05-30
NAXS Nordic Access,0.0010808032053695182,Positive,2019-05-29
NAXS Nordic Access,0.0022198524802050645,Positive,2019-05-28
NAXS Nordic Access,0.001705871999787556,Positive,2019-05-27
NAXS Nordic Access,0.0015806777285540807,Positive,2019-05-26
NAXS Nordic Access,0.0015984867596836594,Positive,2019-05-25
RaySearch Laboratories,0.004722363690888631,Positive,2019-05-30
RaySearch Laboratories,0.004712862362690418,Positive,2019-05-29
RaySearch Laboratories,0.004739969090292728,Positive,2019-05-28
RaySearch Laboratories,0.004827316847789698,Positive,2019-05-27
RaySearch Laboratories,0.0038280104694354833,Positive,2019-05-26
RaySearch Laboratories,0.0032312807361498663,Positive,2019-05-25
SkiStar,0.002007733363294406,Positive,2019-05-30
SkiStar,0.00194505498547759,Positive,2019-05-29
SkiStar,0.002140554911712833,Positive,2019-05-28
SkiStar,0.00262174705631657,Positive,2019-05-27
SkiStar,0.001687960763645302,Positive,2019-05-26
SkiStar,0.0009533400088144184,Positive,2019-05-25
Telia Company,0.0009566672141281263,Negative,2019-05-26
Telia Company,0.0012177048125195933,Negative,2019-05-25
Nokia,0.0036364708735269202,Negative,2019-05-29
Nokia,0.003147618303862676,Negative,2019-05-28
Nokia,0.0035514775510309127,Negative,2019-05-27
Nokia,0.004425269292864464,Negative,2019-05-26
Nokia,0.004154174918865161,Negative,2019-05-25
ADDvise Group A,0.004164207236215245,Negative,2019-05-27
ADDvise Group A,0.004907729954983009,Negative,2019-05-26
ADDvise Group A,0.004826704954296712,Negative,2019-05-25
Africa Oil,0.001931919739152077,Positive,2019-05-25
Auriant Mining,0.0010111195351456548,Negative,2019-05-29
Auriant Mining,0.0018353226383586163,Negative,2019-05-28
Auriant Mining,0.0010994524494335467,Negative,2019-05-27
Auriant Mining,0.0013549917966234615,Negative,2019-05-26
Auriant Mining,0.0002746611137196542,Negative,2019-05-25
Kakel Max,0.005169621118726653,Positive,2019-05-27
Kakel Max,0.005023208922376066,Positive,2019-05-26
Kakel Max,0.0055773288104078445,Positive,2019-05-25
MedCap,0.00466610276285695,Positive,2019-06-02
MedCap,0.0045425176699098735,Positive,2019-06-01
MedCap,0.004941507605556006,Positive,2019-05-31
MedCap,0.004882280855480703,Positive,2019-05-30
MedCap,0.004748529007018831,Positive,2019-05-29
MedCap,0.0058680608822996305,Positive,2019-05-28
MedCap,0.005725276839267046,Positive,2019-05-27
MedCap,0.005393616176007754,Positive,2019-05-26
MedCap,0.004613105675321583,Positive,2019-05-25
Skånska Energi,0.00047387217744898624,Negative,2019-05-27
Skånska Energi,0.0008406551775097526,Negative,2019-05-26
Skånska Energi,0.0015015361289962836,Negative,2019-05-25
Cell Impact,0.005132890676591395,Positive,2019-06-02
Cell Impact,0.0060495656677403975,Positive,2019-06-01
Cell Impact,0.005993392725420099,Positive,2019-05-31
Cell Impact,0.00861028536306252,Positive,2019-05-30
Cell Impact,0.008496437050911743,Positive,2019-05-29
Cell Impact,0.011981809182418868,Positive,2019-05-28
Cell Impact,0.011868802443623538,Positive,2019-05-27
Cell Impact,0.009711017039789382,Positive,2019-05-26
Cell Impact,0.0031391488077270324,Positive,2019-05-25
Igrene,0.005299587881921974,Positive,2019-05-27
Igrene,0.00754004762165994,Positive,2019-05-26
Igrene,0.007506870571038604,Positive,2019-05-25
Tourn,0.007352426952183855,Positive,2019-06-02
Tourn,0.007372901983408342,Positive,2019-06-01
Tourn,0.0070609935891374764,Positive,2019-05-31
Tourn,0.00817922278650296,Positive,2019-05-30
Tourn,0.007506374537902705,Positive,2019-05-29
Tourn,0.008090754371072206,Positive,2019-05-28
Tourn,0.007450693835557187,Positive,2019-05-27
Tourn,0.007876560820471168,Positive,2019-05-26
Tourn,0.008002351161835008,Positive,2019-05-25
RLS Global,0.007874341127191209,Positive,2019-05-29
RLS Global,0.008177758209393149,Positive,2019-05-28
RLS Global,0.008442357285579405,Positive,2019-05-27
RLS Global,0.009344042179561196,Positive,2019-05-26
RLS Global,0.007630997236059089,Positive,2019-05-25
TiksPac,0.0035472529556643817,Negative,2019-06-01
TiksPac,0.001969674080462558,Negative,2019-05-31
TiksPac,0.0023802350950243856,Negative,2019-05-30
TiksPac,0.002647583825577282,Negative,2019-05-29
TiksPac,0.0027004590933811246,Negative,2019-05-28
TiksPac,0.0025588159072471583,Negative,2019-05-27
TiksPac,0.0030276494132001064,Negative,2019-05-26
TiksPac,0.0019167903042853762,Negative,2019-05-25
PharmaLundensis,0.00952181078291503,Positive,2019-05-28
PharmaLundensis,0.008592447909502088,Positive,2019-05-27
PharmaLundensis,0.006782072232150771,Positive,2019-05-26
PharmaLundensis,0.008638122818129146,Positive,2019-05-25
Glycorex Transplantation,0.004911082696675395,Positive,2019-05-28
Glycorex Transplantation,0.00900941283639578,Positive,2019-05-27
Glycorex Transplantation,0.00728028262432967,Positive,2019-05-26
Glycorex Transplantation,0.007951683901193718,Positive,2019-05-25
Torslanda Property,0.0006757348510774142,Negative,2019-05-28
Torslanda Property,0.0003382483386719093,Negative,2019-05-27
Torslanda Property,3.768718618712974e-05,Negative,2019-05-26
Torslanda Property,0.00022566280978186803,Negative,2019-05-25
Omx Helsi 15,0.0006145005810423987,Negative,2019-05-28
Omx Helsi 15,0.0010636631782127148,Negative,2019-05-27
Omx Helsi 15,0.0013935872062015298,Negative,2019-05-26
Omx Helsi 15,0.0016588645198587493,Negative,2019-05-25
Omx Helsi All,0.0012849160622649958,Negative,2019-05-26
Omx Helsi All,0.0015038532920126357,Negative,2019-05-25
Omx Helsi Large Cap,0.0010715095780421402,Negative,2019-05-27
Omx Helsi Large Cap,0.0014195145845108392,Negative,2019-05-26
Omx Helsi Large Cap,0.001655541517965653,Negative,2019-05-25
Omx Helsi Services,0.0022963473206764062,Negative,2019-05-25
Omx Helsi Technology,0.0029419615838104374,Negative,2019-06-02
Omx Helsi Technology,0.0026733742542589534,Negative,2019-06-01
Omx Helsi Technology,0.0026725702797926187,Negative,2019-05-31
Omx Helsi Technology,0.003528918831933847,Negative,2019-05-30
Omx Helsi Technology,0.0033766637485773687,Negative,2019-05-29
Omx Helsi Technology,0.0030888253185878956,Negative,2019-05-28
Omx Helsi Technology,0.0034041532337946157,Negative,2019-05-27
Omx Helsi Technology,0.004260679506884579,Negative,2019-05-26
Omx Helsi Technology,0.003973307457155073,Negative,2019-05-25
Nokia Oyj,0.0029615125807330722,Negative,2019-06-01
Nokia Oyj,0.0029848334899487128,Negative,2019-05-31
Nokia Oyj,0.003867776278493329,Negative,2019-05-30
Nokia Oyj,0.003715606045934128,Negative,2019-05-29
Nokia Oyj,0.003349844437891214,Negative,2019-05-28
Nokia Oyj,0.0037043121293152126,Negative,2019-05-27
Nokia Oyj,0.004639148444658736,Negative,2019-05-26
Nokia Oyj,0.004331696756550207,Negative,2019-05-25
Sanoma,0.0018636585869673539,Negative,2019-05-26
Sanoma,0.0023757502072374592,Negative,2019-05-25
Aktia Bank Abp,0.0018437202766098393,Negative,2019-06-01
Aktia Bank Abp,0.0016834475908285018,Negative,2019-05-31
Aktia Bank Abp,0.0023327275397699854,Negative,2019-05-30
Aktia Bank Abp,0.0021913187123622224,Negative,2019-05-29
Aktia Bank Abp,0.0023313718787076887,Negative,2019-05-28
Aktia Bank Abp,0.002283924599171927,Negative,2019-05-27
Aktia Bank Abp,0.002564155937503143,Negative,2019-05-26
Aktia Bank Abp,0.0020359166763088687,Negative,2019-05-25
Cantargia,0.004160487422758097,Positive,2019-05-29
Cantargia,0.0034601348151160893,Positive,2019-05-28
Cantargia,0.0034052742011008164,Positive,2019-05-27
Cantargia,0.002802072560175617,Positive,2019-05-26
Cantargia,0.002742214999233994,Positive,2019-05-25
Gaming Corps,0.010072791547967808,Positive,2019-05-30
Gaming Corps,0.010342275840621973,Positive,2019-05-29
Gaming Corps,0.00783176726954482,Positive,2019-05-28
Gaming Corps,0.005749034002842213,Positive,2019-05-27
Gaming Corps,0.006292807090647057,Positive,2019-05-26
Gaming Corps,0.005484503381036232,Positive,2019-05-25
Scibase,0.005087202453936568,Positive,2019-05-29
Scibase,0.0063844848368761475,Positive,2019-05-28
Scibase,0.005853859813105489,Positive,2019-05-27
Scibase,0.0071750241774554135,Positive,2019-05-26
Scibase,0.006543205059203472,Positive,2019-05-25
Aptahem,0.0214479469815837,Positive,2019-06-01
Aptahem,0.02111211365122101,Positive,2019-05-31
Aptahem,0.021852785171187272,Positive,2019-05-30
Aptahem,0.021264141545231374,Positive,2019-05-29
Aptahem,0.023204552996300087,Positive,2019-05-28
Aptahem,0.02305727462898699,Positive,2019-05-27
Aptahem,0.0219814622941098,Positive,2019-05-26
Aptahem,0.021280701661567147,Positive,2019-05-25
IVISYS,0.0026932293452033296,Negative,2019-05-31
IVISYS,0.0027650239111662867,Negative,2019-05-30
IVISYS,0.002901779084381606,Negative,2019-05-29
IVISYS,0.0025771278617061633,Negative,2019-05-28
IVISYS,0.003544815727187345,Negative,2019-05-27
IVISYS,0.002793753495903384,Negative,2019-05-26
IVISYS,0.0034372767200786525,Negative,2019-05-25
CapMan,0.002478875063498087,Negative,2019-05-29
CapMan,0.0025146947359906413,Negative,2019-05-28
CapMan,0.001825379561706364,Negative,2019-05-27
CapMan,0.0015581122522558832,Negative,2019-05-26
CapMan,0.0013090264948715236,Negative,2019-05-25
Uutechnic,0.002892477079669886,Positive,2019-05-28
Uutechnic,0.0036162328307376423,Positive,2019-05-27
Uutechnic,0.0031040658782734987,Positive,2019-05-26
Uutechnic,0.0035210103729239606,Positive,2019-05-25
OMX Copen Industrial,0.00040009388988337946,Positive,2019-06-01
OMX Copen Industrial,0.0007659281608265456,Positive,2019-05-31
OMX Copen Industrial,0.001032022422098211,Positive,2019-05-30
OMX Copen Industrial,0.0006318925764444705,Positive,2019-05-29
OMX Copen Industrial,0.0004477900110384514,Positive,2019-05-28
OMX Copen Industrial,0.00021118269334285955,Positive,2019-05-27
OMX Copen Industrial,0.00025626668666656194,Positive,2019-05-26
OB Oslo 25 GI,0.00036844609969099995,Positive,2019-05-29
OB Oslo 25 GI,0.00041282410894671884,Positive,2019-05-28
OB Oslo 25 GI,0.00015917504820861517,Positive,2019-05-27
Nordic Semiconductor,0.0023194944038361642,Positive,2019-05-26
Nordic Semiconductor,0.0023577804440528816,Positive,2019-05-25
Photocat,0.01070345523071814,Positive,2019-06-01
Photocat,0.0017772923966039578,Positive,2019-05-31
Photocat,0.002935701404872315,Positive,2019-05-30
Photocat,0.005750678073907167,Positive,2019-05-29
Photocat,0.006673851722601265,Positive,2019-05-28
Photocat,0.004564415341751449,Positive,2019-05-27
Photocat,0.00356005518935798,Positive,2019-05-26
Photocat,0.002730459147367359,Positive,2019-05-25
Nuevolution,0.01958180129218623,Positive,2019-05-25
Orkla,0.001816125917115441,Positive,2019-05-27
Orkla,0.0017132897679856818,Positive,2019-05-26
Orkla,0.0016787211556239523,Positive,2019-05-25
ISS,0.0013762224162048309,Positive,2019-05-29
ISS,0.0015457564219563125,Positive,2019-05-28
ISS,0.0005723639805876868,Positive,2019-05-27
ISS,9.22136747402158e-05,Positive,2019-05-26
Sjöstrand Coffee,0.002966651066768744,Positive,2019-06-01
Sjöstrand Coffee,0.0005053979075050341,Positive,2019-05-31
Sjöstrand Coffee,0.0010341978763499515,Positive,2019-05-30
Sjöstrand Coffee,0.0005026676789166018,Positive,2019-05-29
Sjöstrand Coffee,0.003390864889532108,Positive,2019-05-25
Xintela,0.006712105189701223,Negative,2019-05-27
Xintela,0.006681989374705322,Negative,2019-05-26
Xintela,0.006349821566128511,Negative,2019-05-25
AKVA Group,0.0015849178806512931,Positive,2019-05-28
AKVA Group,0.0017419579607480529,Positive,2019-05-27
AKVA Group,0.0018261487646512586,Positive,2019-05-26
AKVA Group,0.0018523900103352142,Positive,2019-05-25
BW Offshore Limited,0.005001524226368348,Positive,2019-05-31
BW Offshore Limited,0.007021157900153119,Positive,2019-05-30
BW Offshore Limited,0.006025928739253228,Positive,2019-05-29
BW Offshore Limited,0.004493496796899921,Positive,2019-05-28
BW Offshore Limited,0.004368010317799209,Positive,2019-05-27
BW Offshore Limited,0.0036414172754124507,Positive,2019-05-26
BW Offshore Limited,0.0033422758538144137,Positive,2019-05-25
Questerre Energy,0.006075390980353479,Negative,2019-05-25
Sbanken,0.0004888033448531282,Negative,2019-05-31
Sbanken,0.0004343735154812567,Negative,2019-05-30
Sbanken,0.0005327974849125283,Negative,2019-05-29
Sbanken,0.0006132875514375247,Negative,2019-05-28
Sbanken,0.0007802563020934405,Negative,2019-05-27
Sbanken,0.0008867515506010282,Negative,2019-05-26
Sbanken,0.0010423589415496926,Negative,2019-05-25
North Energy,0.0029858939952122077,Negative,2019-05-25
Philly Shipyard,0.006572227515475815,Negative,2019-05-29
Philly Shipyard,0.007433524313788409,Negative,2019-05-28
Philly Shipyard,0.005170319174066851,Negative,2019-05-27
Philly Shipyard,0.0036774788232664113,Negative,2019-05-26
Philly Shipyard,0.0016218782821831867,Negative,2019-05-25
S.D. Standard Drilling,0.003985731965631345,Positive,2019-05-27
S.D. Standard Drilling,0.003484697877656706,Positive,2019-05-26
S.D. Standard Drilling,0.0032825261298458086,Positive,2019-05-25
Ambu,0.002454610109567157,Negative,2019-05-25
AGF B,0.001925473793896737,Negative,2019-05-26
AGF B,0.0018919064700745336,Negative,2019-05-25
BankNordik,0.00011262275880707939,Negative,2019-05-30
BankNordik,0.0006083400144779594,Negative,2019-05-29
BankNordik,0.0006313781548100694,Negative,2019-05-28
BankNordik,0.001060621836681097,Negative,2019-05-27
BankNordik,0.0010171348139437209,Negative,2019-05-26
BankNordik,0.00045267585283870204,Negative,2019-05-25
cBrain,0.00831928351418243,Positive,2019-05-26
cBrain,0.008170191150031592,Positive,2019-05-25
Copenhagen Capital,0.0005352602703065923,Negative,2019-06-02
Copenhagen Capital,0.0004347960583073185,Negative,2019-06-01
Copenhagen Capital,0.0004347234204465922,Negative,2019-05-31
Copenhagen Capital,0.0005354752342707769,Negative,2019-05-30
Copenhagen Capital,0.0005691823475386659,Negative,2019-05-29
Copenhagen Capital,0.0001336764361863363,Negative,2019-05-28
Copenhagen Capital,0.0006697078857218486,Negative,2019-05-27
Copenhagen Capital,0.0009719996109046614,Negative,2019-05-26
Copenhagen Capital,0.0007038859952106513,Negative,2019-05-25
Harboes Bryggeri,0.0016362730992981467,Positive,2019-05-27
Harboes Bryggeri,0.0016963546832118315,Positive,2019-05-26
Harboes Bryggeri,0.0014737681329242136,Positive,2019-05-25
SP Group,0.0034549785424626833,Positive,2019-05-29
SP Group,0.00370045458891477,Positive,2019-05-28
SP Group,0.0042945469649229295,Positive,2019-05-27
SP Group,0.0041535973282768035,Positive,2019-05-26
SP Group,0.003844987993928184,Positive,2019-05-25
Totalbanken,0.01323319951602342,Negative,2019-05-27
Totalbanken,0.01298757391006422,Negative,2019-05-26
Totalbanken,0.013094340522242676,Negative,2019-05-25
PiezoMotor,0.0009308447430318445,Negative,2019-05-29
PiezoMotor,0.0008225090382218969,Negative,2019-05-28
PiezoMotor,0.001648051587662569,Negative,2019-05-27
PiezoMotor,0.0014307168426263006,Negative,2019-05-26
PiezoMotor,0.0012891470225175894,Negative,2019-05-25
Pareto Bank,0.0017098956061337711,Positive,2019-05-31
Pareto Bank,0.0016276947319407986,Positive,2019-05-30
Pareto Bank,0.001479190462500335,Positive,2019-05-29
Pareto Bank,0.0017966786672839463,Positive,2019-05-28
Pareto Bank,0.001329812395025165,Positive,2019-05-27
Pareto Bank,0.0010771427716562698,Positive,2019-05-26
Pareto Bank,0.0009037890347192157,Positive,2019-05-25
AdderaCare,0.006150106922281795,Positive,2019-05-26
AdderaCare,0.004838923496783387,Positive,2019-05-25
Sonetel,0.007545495386486856,Positive,2019-05-26
Sonetel,0.0074284777092006316,Positive,2019-05-25
Abelco Investment,0.014382006544813919,Positive,2019-05-30
Abelco Investment,0.01403656095544914,Positive,2019-05-29
Abelco Investment,0.01369369344210658,Positive,2019-05-28
Abelco Investment,0.013223558929972512,Positive,2019-05-27
Abelco Investment,0.01278814961425212,Positive,2019-05-26
Abelco Investment,0.016131059569260975,Positive,2019-05-25
Handicare,0.001916103294827165,Positive,2019-05-31
Handicare,0.0021106116341266246,Positive,2019-05-30
Handicare,0.0019257454756262948,Positive,2019-05-29
Handicare,0.002150463828974325,Positive,2019-05-28
Handicare,0.0014151558361947814,Positive,2019-05-27
Handicare,0.0006572651698605325,Positive,2019-05-26
Handicare,0.000644981561467528,Positive,2019-05-25
Lillestrom Sparebank,0.0014964459408903785,Negative,2019-05-28
Lillestrom Sparebank,0.0014986886474336325,Negative,2019-05-27
Lillestrom Sparebank,0.000984887445887761,Negative,2019-05-26
ObsteCare,0.003999608181500691,Negative,2019-05-30
ObsteCare,0.004136536246797551,Negative,2019-05-29
ObsteCare,0.0034238486244131394,Negative,2019-05-28
ObsteCare,0.003776748498171556,Negative,2019-05-27
ObsteCare,0.0024227299176280415,Negative,2019-05-26
ObsteCare,0.0014254868643995833,Negative,2019-05-25
Slottsviken A,0.005804814077978504,Negative,2019-05-31
Slottsviken A,0.005873506487746649,Negative,2019-05-30
Slottsviken A,0.005943528611066506,Negative,2019-05-29
Slottsviken A,0.00601491729124537,Negative,2019-05-28
Slottsviken A,0.006087710721327078,Negative,2019-05-27
Slottsviken A,0.0061619485061125134,Negative,2019-05-26
Victoria Park B,0.0006948947147997764,Positive,2019-06-02
Victoria Park B,0.000694419542472513,Positive,2019-06-01
Victoria Park B,0.0008152898339194303,Positive,2019-05-31
Victoria Park B,0.000841825569393384,Positive,2019-05-30
Victoria Park B,0.0009020032214885898,Positive,2019-05-29
Victoria Park B,0.0007198137126973592,Positive,2019-05-28
Victoria Park B,0.0008873532054705091,Positive,2019-05-27
Victoria Park B,0.0006719293996109155,Positive,2019-05-26
Victoria Park B,0.00042365753970075026,Positive,2019-05-25
Salmones Camanchaca,0.0027223539207540393,Negative,2019-05-25
I-Tech,0.008444647398945238,Negative,2019-05-29
I-Tech,0.006939153442152679,Negative,2019-05-28
I-Tech,0.00839121693577738,Negative,2019-05-27
I-Tech,0.008185934970804998,Negative,2019-05-26
I-Tech,0.007649772084459938,Negative,2019-05-25
Calliditas Therapeutics,0.003195404642393207,Positive,2019-06-02
Calliditas Therapeutics,0.0034720695939429724,Positive,2019-06-01
Calliditas Therapeutics,0.003545860613712648,Positive,2019-05-31
Calliditas Therapeutics,0.0035167273567892066,Positive,2019-05-30
Calliditas Therapeutics,0.0036203385892957796,Positive,2019-05-29
Calliditas Therapeutics,0.0032559850317392947,Positive,2019-05-28
Calliditas Therapeutics,0.003525918357279667,Positive,2019-05-27
Calliditas Therapeutics,0.003133974105543502,Positive,2019-05-26
Calliditas Therapeutics,0.0032902754062137385,Positive,2019-05-25
VMP,0.004256428084322028,Positive,2019-06-02
VMP,0.004339622767947193,Positive,2019-06-01
VMP,0.0036328826621644383,Positive,2019-05-31
VMP,0.0033660544272160475,Positive,2019-05-30
VMP,0.004002864554857322,Positive,2019-05-29
VMP,0.00399755775541788,Positive,2019-05-28
VMP,0.003891445932728832,Positive,2019-05-27
VMP,0.0038830390631134915,Positive,2019-05-26
VMP,0.003559852997937818,Positive,2019-05-25
