Stock name,Signal,Certainty,Datetime,Algorithm name
Byggmax,buy,0.0022221281005949667,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Qliro Group,buy,0.0017680655525458278,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Duni,buy,0.0008679836075684566,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Duroc,sell,-0.0006675442998788084,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Elanders,sell,-0.0007786470880125629,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Electra Gruppen,sell,-0.0007971834142844747,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Havsfrun Investment,sell,-0.0009713164827677145,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Image Systems,buy,0.002769060224978137,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
NAXS Nordic Access,buy,0.00047974760675706385,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
RaySearch Laboratories,buy,0.0023611774574499034,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
SkiStar,buy,0.0010038663444322804,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Telia Company,sell,-0.00047833357058257864,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Nokia,sell,-0.0018182334330827388,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
ADDvise Group A,sell,-0.0020821006093652006,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Africa Oil,buy,0.0009659595691375866,2019-05-31,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Auriant Mining,sell,-0.0005055597245006149,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Kakel Max,buy,0.002584804802793883,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Skånska Energi,sell,-0.00023693608429053992,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Igrene,buy,0.002649787739217313,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
RLS Global,buy,0.00393715021995189,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
TiksPac,sell,-0.0017736246180386495,2019-05-21,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
PharmaLundensis,buy,0.004760869421207126,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Railcare,buy,0.002701906387081232,2019-06-03,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Glycorex Transplantation,buy,0.0024555364129705826,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Torslanda Property,sell,-0.00033786741268237996,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi 25,sell,-0.0009057079153396153,2019-06-03,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi 15,sell,-0.00030725028085298867,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi All,sell,-0.0006424579427408705,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi Large Cap,sell,-0.0005357547377613514,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi Services,sell,-0.0011481731557914099,2019-05-31,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Kesko B,sell,-0.0013245762996868526,2019-06-04,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Nokia Oyj,sell,-0.0014807552081125275,2019-05-21,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Sanoma,sell,-0.000931829023779307,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Aktia Bank Abp,sell,-0.0009218598771647546,2019-05-21,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Cantargia,buy,0.0020802407106923493,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Gaming Corps,buy,0.00503635319121587,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Scibase,buy,0.0025435957413613153,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Aptahem,buy,0.010723562411156351,2019-05-21,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
IVISYS,sell,-0.0013466138586315513,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Sotkamo Silver Oyj,sell,-0.002040807242456477,2019-06-04,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
CapMan,sell,-0.001239436897072399,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Uutechnic,buy,0.0014462375315154041,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Tulikivi,buy,0.002197523618102215,2019-06-04,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
OMX Copen Industrial,buy,0.00020004694227315767,2019-05-20,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
OB Oslo 25 GI,sell,-0.0002147583099600947,2019-05-31,sma_50_200
OB Oslo 25 GI,buy,0.0001842230477613338,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
OB Oslo Technology,buy,0.00028826577631058115,2019-06-04,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Nordic Semiconductor,buy,0.001159746681959728,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Photocat,buy,0.005351676523021265,2019-05-21,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Nuevolution,buy,0.00979058780051334,2019-05-31,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Orkla,buy,0.0009080627089681492,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
ISS,buy,0.0006881110994962913,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Sjöstrand Coffee,buy,0.0016954308202663526,2019-05-31,sma_50_200
Sjöstrand Coffee,sell,-0.0012614728763075123,2019-05-28,sma_50_200
Sjöstrand Coffee,buy,0.0014833244454872663,2019-05-21,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Humana,sell,-0.0028500952834775717,2019-06-03,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Xintela,sell,-0.00335603999506795,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Aker,sell,-0.001954099160676792,2019-06-04,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
AKVA Group,buy,0.000792458774440119,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
BW Offshore Limited,buy,0.0025007569000992103,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Questerre Energy,sell,-0.0030376861466711036,2019-05-31,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Sbanken,sell,-0.00024440166756045656,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
North Energy,sell,-0.0014929458884019864,2019-05-31,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Philly Shipyard,sell,-0.0032861019293746185,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
S.D. Standard Drilling,buy,0.001992863344587592,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Ambu,sell,-0.0012273044385630039,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
AGF B,sell,-0.0009627365995069637,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
cBrain,buy,0.004159617766357648,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Harboes Bryggeri,buy,0.0008181363671098119,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
SP Group,buy,0.0017274875528312528,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Totalbanken,sell,-0.006616503202796942,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
FastPassCorp,sell,-0.0013617361978971454,2019-06-03,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
WIRTEK,buy,0.0010983709247993634,2019-06-03,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
PiezoMotor,sell,-0.00046542233790969334,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Pareto Bank,buy,0.0008549475947627894,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
AdderaCare,buy,0.003075043768656416,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Sonetel,buy,0.0037727297933860537,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Abelco Investment,buy,0.007190879324778132,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Balco Group,buy,0.00174189054894347,2019-06-03,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Handicare,buy,0.0009580513542937208,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Lillestrom Sparebank,sell,-0.0007482228308173244,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
ObsteCare,sell,-0.00199980142487155,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Slottsviken A,sell,-0.002902398889090163,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Salmones Camanchaca,sell,-0.0013611761197133143,2019-05-31,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
I-Tech,sell,-0.004222298607764463,2019-05-24,sma_50_200
